Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2020-11-30;B.1.351;Beta;VOC;;False;75;0
3;2022-03-23 17:41:04;2020-11-30;P.1;Gamma;VOC;;False;75;0
3;2022-03-23 17:41:04;2020-11-30;B.1.617.2;Delta;VOC;VOC;False;75;0
3;2022-03-23 17:41:04;2020-11-30;B.1.1.529;Omicron;VOC;VOC;False;75;0
3;2022-03-23 17:41:04;2020-11-30;B.1.640;;VUM;VUM;False;75;0
3;2022-03-23 17:41:04;2020-11-30;XF;;VUM;;False;75;0
3;2022-03-23 17:41:04;2020-11-30;XD;;VUM;VUM;False;75;0
3;2022-03-23 17:41:04;2020-11-30;B.1.1.7;Alpha;DEV;;False;75;1
3;2022-03-23 17:41:04;2020-11-30;B.1.621;Mu;DEV;;False;75;0
3;2022-03-23 17:41:04;2020-11-30;C.37;Lambda;DEV;;False;75;0
3;2022-03-23 17:41:04;2020-11-30;BA.1;;VOC;VOC;True;75;0
3;2022-03-23 17:41:04;2020-11-30;BA.2;;VOC;VOC;True;75;0
3;2022-03-23 17:41:04;2020-11-30;BA.3;;VOC;VOC;True;75;0
3;2022-03-23 17:41:04;2020-12-07;B.1.351;Beta;VOC;;False;127;0
3;2022-03-23 17:41:04;2020-12-07;P.1;Gamma;VOC;;False;127;0
3;2022-03-23 17:41:04;2020-12-07;B.1.617.2;Delta;VOC;VOC;False;127;0
3;2022-03-23 17:41:04;2020-12-07;B.1.1.529;Omicron;VOC;VOC;False;127;0
3;2022-03-23 17:41:04;2020-12-07;B.1.640;;VUM;VUM;False;127;0
3;2022-03-23 17:41:04;2020-12-07;XF;;VUM;;False;127;0
3;2022-03-23 17:41:04;2020-12-07;XD;;VUM;VUM;False;127;0
3;2022-03-23 17:41:04;2020-12-07;B.1.1.7;Alpha;DEV;;False;127;1
3;2022-03-23 17:41:04;2020-12-07;B.1.621;Mu;DEV;;False;127;0
3;2022-03-23 17:41:04;2020-12-07;C.37;Lambda;DEV;;False;127;0
3;2022-03-23 17:41:04;2020-12-07;BA.1;;VOC;VOC;True;127;0
3;2022-03-23 17:41:04;2020-12-07;BA.2;;VOC;VOC;True;127;0
3;2022-03-23 17:41:04;2020-12-07;BA.3;;VOC;VOC;True;127;0
3;2022-03-23 17:41:04;2020-12-14;B.1.351;Beta;VOC;;False;203;0
3;2022-03-23 17:41:04;2020-12-14;P.1;Gamma;VOC;;False;203;0
3;2022-03-23 17:41:04;2020-12-14;B.1.617.2;Delta;VOC;VOC;False;203;0
3;2022-03-23 17:41:04;2020-12-14;B.1.1.529;Omicron;VOC;VOC;False;203;0
3;2022-03-23 17:41:04;2020-12-14;B.1.640;;VUM;VUM;False;203;0
