Version;Date_of_report;Date_of_statistics_week_start;Age_group;Hospital_admission_notification;Hospital_admission;IC_admission_notification;IC_admission
1;2022-03-23 00:30:00;2020-02-24;0-14;0;0;0;0
1;2022-03-23 00:30:00;2020-02-24;15-19;0;0;0;0
1;2022-03-23 00:30:00;2020-02-24;20-24;0;0;0;0
1;2022-03-23 00:30:00;2020-02-24;25-29;0;0;0;0
1;2022-03-23 00:30:00;2020-02-24;30-34;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;35-39;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;40-44;0;0;0;0
1;2022-03-23 00:30:00;2020-02-24;45-49;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;50-54;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;55-59;0;2;0;1
1;2022-03-23 00:30:00;2020-02-24;60-64;0;2;0;0
1;2022-03-23 00:30:00;2020-02-24;65-69;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;70-74;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;75-79;0;3;0;1
1;2022-03-23 00:30:00;2020-02-24;80-84;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;85-89;0;2;0;0
1;2022-03-23 00:30:00;2020-02-24;90+;0;1;0;0
1;2022-03-23 00:30:00;2020-02-24;Unknown;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;0-14;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;15-19;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;20-24;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;25-29;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;30-34;0;0;0;0
1;2022-03-23 00:30:00;2020-03-02;35-39;0;1;0;1
1;2022-03-23 00:30:00;2020-03-02;40-44;0;1;0;0
1;2022-03-23 00:30:00;2020-03-02;45-49;0;5;0;1
1;2022-03-23 00:30:00;2020-03-02;50-54;0;2;0;0
1;2022-03-23 00:30:00;2020-03-02;55-59;0;7;0;3
1;2022-03-23 00:30:00;2020-03-02;60-64;0;9;0;2
1;2022-03-23 00:30:00;2020-03-02;65-69;0;14;0;3
1;2022-03-23 00:30:00;2020-03-02;70-74;0;13;0;2
1;2022-03-23 00:30:00;2020-03-02;75-79;0;15;0;5
1;2022-03-23 00:30:00;2020-03-02;80-84;0;10;0;0
1;2022-03-23 00:30:00;2020-03-02;85-89;0;15;0;1
1;2022-03-23 00:30:00;2020-03-02;90+;0;3;0;0
1;2022-03-23 00:30:00;2020-03-02;Unknown;0;0;0;0
1;2022-03-23 00:30:00;2020-03-09;0-14;0;5;0;0
1;2022-03-23 00:30:00;2020-03-09;15-19;0;1;0;1
1;2022-03-23 00:30:00;2020-03-09;20-24;0;1;0;0
1;2022-03-23 00:30:00;2020-03-09;25-29;0;4;0;1
1;2022-03-23 00:30:00;2020-03-09;30-34;0;1;0;0
1;2022-03-23 00:30:00;2020-03-09;35-39;0;5;0;2
1;2022-03-23 00:30:00;2020-03-09;40-44;0;8;0;3
1;2022-03-23 00:30:00;2020-03-09;45-49;0;16;0;6
1;2022-03-23 00:30:00;2020-03-09;50-54;0;27;0;5
1;2022-03-23 00:30:00;2020-03-09;55-59;0;32;0;12
1;2022-03-23 00:30:00;2020-03-09;60-64;0;30;0;10
1;2022-03-23 00:30:00;2020-03-09;65-69;0;53;0;22
1;2022-03-23 00:30:00;2020-03-09;70-74;0;58;0;16
1;2022-03-23 00:30:00;2020-03-09;75-79;0;64;0;14
1;2022-03-23 00:30:00;2020-03-09;80-84;0;65;0;11
1;2022-03-23 00:30:00;2020-03-09;85-89;0;38;0;1
1;2022-03-23 00:30:00;2020-03-09;90+;0;18;0;0
1;2022-03-23 00:30:00;2020-03-09;Unknown;0;7;0;7
1;2022-03-23 00:30:00;2020-03-16;0-14;0;7;0;0
1;2022-03-23 00:30:00;2020-03-16;15-19;0;1;0;0
1;2022-03-23 00:30:00;2020-03-16;20-24;0;5;0;0
1;2022-03-23 00:30:00;2020-03-16;25-29;0;13;0;4
1;2022-03-23 00:30:00;2020-03-16;30-34;0;23;0;7
1;2022-03-23 00:30:00;2020-03-16;35-39;0;17;0;5
1;2022-03-23 00:30:00;2020-03-16;40-44;0;30;0;4
1;2022-03-23 00:30:00;2020-03-16;45-49;0;55;0;14
1;2022-03-23 00:30:00;2020-03-16;50-54;0;104;0;35
1;2022-03-23 00:30:00;2020-03-16;55-59;0;138;0;44
1;2022-03-23 00:30:00;2020-03-16;60-64;0;131;0;48
1;2022-03-23 00:30:00;2020-03-16;65-69;0;210;0;74
1;2022-03-23 00:30:00;2020-03-16;70-74;0;247;0;90
1;2022-03-23 00:30:00;2020-03-16;75-79;0;288;0;75
1;2022-03-23 00:30:00;2020-03-16;80-84;0;219;0;19
1;2022-03-23 00:30:00;2020-03-16;85-89;0;160;0;7
1;2022-03-23 00:30:00;2020-03-16;90+;0;42;0;0
1;2022-03-23 00:30:00;2020-03-16;Unknown;0;0;0;0
1;2022-03-23 00:30:00;2020-03-23;0-14;9;9;0;0
1;2022-03-23 00:30:00;2020-03-23;15-19;4;7;2;1
1;2022-03-23 00:30:00;2020-03-23;20-24;6;9;2;2
1;2022-03-23 00:30:00;2020-03-23;25-29;19;19;7;4
1;2022-03-23 00:30:00;2020-03-23;30-34;28;34;12;5
1;2022-03-23 00:30:00;2020-03-23;35-39;38;56;10;5
1;2022-03-23 00:30:00;2020-03-23;40-44;55;68;17;15
1;2022-03-23 00:30:00;2020-03-23;45-49;100;122;44;29
1;2022-03-23 00:30:00;2020-03-23;50-54;207;240;88;60
1;2022-03-23 00:30:00;2020-03-23;55-59;268;307;134;87
1;2022-03-23 00:30:00;2020-03-23;60-64;312;347;151;106
1;2022-03-23 00:30:00;2020-03-23;65-69;384;384;216;140
1;2022-03-23 00:30:00;2020-03-23;70-74;483;542;232;159
1;2022-03-23 00:30:00;2020-03-23;75-79;481;529;190;113
1;2022-03-23 00:30:00;2020-03-23;80-84;286;352;51;21
1;2022-03-23 00:30:00;2020-03-23;85-89;166;212;9;2
1;2022-03-23 00:30:00;2020-03-23;90+;51;53;0;0
1;2022-03-23 00:30:00;2020-03-23;Unknown;7;0;7;0
1;2022-03-23 00:30:00;2020-03-30;0-14;10;6;0;0
1;2022-03-23 00:30:00;2020-03-30;15-19;6;6;1;1
1;2022-03-23 00:30:00;2020-03-30;20-24;6;9;0;0
1;2022-03-23 00:30:00;2020-03-30;25-29;16;19;2;2
1;2022-03-23 00:30:00;2020-03-30;30-34;31;25;6;6
1;2022-03-23 00:30:00;2020-03-30;35-39;53;48;11;13
1;2022-03-23 00:30:00;2020-03-30;40-44;64;59;12;13
1;2022-03-23 00:30:00;2020-03-30;45-49;117;119;28;28
1;2022-03-23 00:30:00;2020-03-30;50-54;197;177;40;46
1;2022-03-23 00:30:00;2020-03-30;55-59;264;227;74;75
1;2022-03-23 00:30:00;2020-03-30;60-64;326;317;103;110
1;2022-03-23 00:30:00;2020-03-30;65-69;333;295;104;105
1;2022-03-23 00:30:00;2020-03-30;70-74;463;358;149;136
1;2022-03-23 00:30:00;2020-03-30;75-79;432;337;81;81
1;2022-03-23 00:30:00;2020-03-30;80-84;299;214;11;12
1;2022-03-23 00:30:00;2020-03-30;85-89;217;143;1;0
1;2022-03-23 00:30:00;2020-03-30;90+;72;64;0;0
1;2022-03-23 00:30:00;2020-03-30;Unknown;0;0;0;0
1;2022-03-23 00:30:00;2020-04-06;0-14;5;4;0;0
1;2022-03-23 00:30:00;2020-04-06;15-19;3;1;0;0
1;2022-03-23 00:30:00;2020-04-06;20-24;17;15;4;4
1;2022-03-23 00:30:00;2020-04-06;25-29;22;15;3;1
1;2022-03-23 00:30:00;2020-04-06;30-34;26;20;3;4
1;2022-03-23 00:30:00;2020-04-06;35-39;29;18;7;4
1;2022-03-23 00:30:00;2020-04-06;40-44;42;32;14;11
1;2022-03-23 00:30:00;2020-04-06;45-49;100;83;23;21
1;2022-03-23 00:30:00;2020-04-06;50-54;150;115;35;29
