"Op te heffen gemeenten","","Nieuw te vormen gemeenten"
"Code","Gemeentenaam","Code","Gemeentenaam","Provincie"
"0370","Beemster","0439","Purmerend","NH."
"0439","Purmerend","0439","Purmerend","NH."
"0398","Heerhugowaard","1980","Dijk en Waard","NH."
"0416","Langedijk","1980","Dijk en Waard","NH."
"1685","Landerd","1991","Maashorst","NB."
"0856","Uden","1991","Maashorst","NB."
"0756","Boxmeer","1982","Land van Cuijk","NB."
"1684","Cuijk","1982","Land van Cuijk","NB."
"0786","Grave","1982","Land van Cuijk","NB."
"0815","Mill en Sint Hubert","1982","Land van Cuijk","NB."
"1702","Sint Anthonis","1982","Land van Cuijk","NB."
""
