GM_CODE;Gemeentenaam;KerkbezoekMeerDan1KeerPerMaand;GeenKerkelijkeGezindte;WelKerkelijkeGezindte;RoomsKatholiek;Protestants;NederlandsHervormd;GereformeerdeKerken;ProtestantseKerkNederland;Islam;Joods;Hindoe;Boeddhist;anders
GM0003;Appingedam;11.91;55.17;44.83;3.71;28.88;10.24;8.29;10.35;3.85;0;0;0.28;8.1
GM0005;Bedum;38;48.17;51.83;3.67;45.74;3.97;22.16;19.61;0.56;0;0;0;1.86
GM0007;Bellingwedde;7.09;69.2;30.8;7.55;16.75;15.33;0.34;1.08;0.41;0;0;0.19;5.91
GM0009;Ten Boer;19.06;63.01;36.99;1.09;32.99;9.3;15.28;8.41;0.54;0;0;0;2.36
GM0010;Delfzijl;14.79;67.48;32.52;4.74;21;6.44;3.58;10.98;1.6;0;0.08;0.11;4.99
GM0014;Groningen;10.92;71.53;28.47;5.95;13.69;3.59;5.16;4.94;2.43;0.09;0.46;0.47;5.39
GM0015;Grootegast;42.39;34.25;65.75;1.9;60.91;8.73;23.46;28.72;0;0;0;0;2.95
GM0017;Haren;19.34;62.98;37.02;6.34;23.04;9.23;8.87;4.94;0.44;0;0.05;0.64;6.52
GM0018;Hoogezand-Sappemeer;14.13;67.14;32.86;6.07;11.08;5.67;3.2;2.21;6.14;0;0.23;0.19;9.14
GM0022;Leek;17.16;59.48;40.52;1.47;32.62;7.57;7.57;17.48;0.24;0;0;0;6.2
GM0024;Loppersum;24.56;55.63;44.37;7.46;31.78;7.01;10.24;14.53;0;0;0;0.21;4.93
GM0025;Marum;13.02;59.72;40.28;2.22;34.71;16.37;7.77;10.57;0;0;0;0.15;3.19
GM0034;Almere;13.4;59.85;40.15;14.17;8.22;2.61;1.45;4.16;8.03;0.28;1.82;0.62;7.01
GM0037;Stadskanaal;24.34;52.04;47.96;13.41;27.47;9.36;9.73;8.38;0.6;0;0.14;0;6.32
GM0040;Slochteren;20.25;66.32;33.68;2.12;25.93;6.2;11.06;8.67;1.31;0;0;0;4.31
GM0047;Veendam;12.72;68.44;31.56;6.08;16.42;8.42;3.37;4.63;4.52;0;0.35;0.1;4.08
GM0048;Vlagtwedde;15.34;57.23;42.77;12.7;25.07;16.84;3.25;4.98;0.93;0;0.51;0;3.56
GM0050;Zeewolde;19.8;57.99;42.01;9.75;26.01;5.22;12.23;8.56;0.85;0;0;0.11;5.29
GM0053;Winsum;23.56;55.58;44.42;4.06;35.73;5.66;20.17;9.9;0;0;0;0;4.62
GM0056;Zuidhorn;45.87;35.32;64.68;4.6;55.7;8.23;24.23;23.24;0.73;0;0.41;0;3.24
GM0058;Dongeradeel;36.49;29.35;70.65;3.38;61.43;11.3;16.56;33.57;0;0;0;0.3;5.54
GM0059;Achtkarspelen;33.56;39.32;60.68;1.61;48.96;9.85;18.03;21.08;0.12;0;0;0;9.98
GM0060;Ameland;;;;;0;;;;;;;;
GM0063;het Bildt;17.66;55.67;44.33;3.04;39.01;13.84;10.49;14.68;0.59;0;0;1.02;0.67
GM0070;Franekeradeel;17.9;59.23;40.77;5.93;32.73;11.56;6.21;14.96;0.2;0;0;0;1.9
GM0072;Harlingen;16.61;65.8;34.2;7.14;19.81;6.56;9.15;4.1;0;0.23;0;0.16;6.85
GM0074;Heerenveen;12.83;66.81;33.19;5.89;20.88;6.28;4.2;10.4;1.78;0.05;0.34;0.25;4
GM0079;Kollumerland en Nieuwkruisland;27.76;38.23;61.77;0.58;56.91;13.5;20.66;22.75;0;0;0;0;4.28
GM0080;Leeuwarden;11.61;68.8;31.2;5.67;16.79;3.92;3.31;9.56;2.59;0.1;0.51;0.25;5.29
GM0081;Leeuwarderadeel;14.58;58.46;41.54;1.51;34.52;8.23;10.67;15.62;1.19;0;0;0.32;3.99
