ID;Variable name;Meaning;Include in model;Normalise;Normalise by;;;;;
1;TotaleBevolking_1;TotaleBevolking;1;0;;;;;;
2;Mannen_2;Mannen;0;;TotaleBevolking_1;;;;;
3;Vrouwen_3;Vrouwen;0;;TotaleBevolking_1;;;;;
4;JongerDan5Jaar_4;JongerDan5Jaar;0;;;;;;;
13;JongerDan5Jaar_13;JongerDan5Jaar;0;0;;;;;;
22;TotaleDruk_22;TotaleDruk;0;;;;;;;
23;GroeneDruk_23;GroeneDruk;0;;;;;;;
24;GrijzeDruk_24;GrijzeDruk;0;;;;;;;
25;Ongehuwd_25;Ongehuwd;0;1;TotaleBevolking_1;;;;;
26;Gehuwd_26;Gehuwd;0;1;TotaleBevolking_1;;;;;
27;Gescheiden_27;Gescheiden;0;1;TotaleBevolking_1;;;;;
28;Verweduwd_28;Verweduwd;0;1;TotaleBevolking_1;;;;;
29;Inwoners15JaarOfOuder_29;Inwoners15JaarOfOuder;0;;;;;;;
30;Ongehuwd_30;Ongehuwd;0;;;;;;;
31;Gehuwd_31;Gehuwd;0;;;;;;;
32;Gescheiden_32;Gescheiden;0;;;;;;;
33;Verweduwd_33;Verweduwd;0;;;;;;;
34;NederlandseAchtergrond_34;NederlandseAchtergrond_34;0;;;;;;;
35;TotaalMetMigratieachtergrond_35;TotaalMetMigratieachtergrond_35;0;;;;;;;
36;WesterseMigratieachtergrond_36;WesterseMigratieachtergrond_36;0;;;;;;;
37;TotaalNietWesterseMigratieachtergrond_37;TotaalNietWesterseMigratieachtergrond_37;0;;;;;;;
38;Marokko_38;Marokko_38;0;;;;;;;
39;VoormaligeNederlandseAntillenAruba_39;VoormaligeNederlandseAntillenAruba_39;0;;;;;;;
40;Suriname_40;Suriname_40;0;;;;;;;
41;Turkije_41;Turkije_41;0;;;;;;;
42;OverigNietWesterseMigratieachtergrond_42;OverigNietWesterseMigratieachtergrond_42;0;;;;;;;
43;NederlandseAchtergrond_43;NederlandseAchtergrond;1;0;;;;;;
44;TotaalMetMigratieachtergrond_44;TotaalMetMigratieachtergrond;1;0;;;;;;
45;WesterseMigratieachtergrond_45;WesterseMigratieachtergrond;1;0;;;;;;
46;TotaalNietWesterseMigratieachtergrond_46;TotaalNietWesterseMigratieachtergrond;1;0;;;;;;
47;Marokko_47;Marokko;0;0;;;;;;
48;VoormaligeNederlandseAntillenAruba_48;VoormaligeNederlandseAntillenAruba;0;0;;;;;;
49;Suriname_49;Suriname;0;0;;;;;;
50;Turkije_50;Turkije;0;0;;;;;;
51;OverigNietWesterseMigratieachtergrond_51;OverigNietWesterseMigratieachtergrond;0;0;;;;;;
52;ZeerSterkStedelijk_52;ZeerSterkStedelijk;0;;;;;;;
53;SterkStedelijk_53;SterkStedelijk;0;;;;;;;
54;MatigStedelijk_54;MatigStedelijk;0;;;;;;;
55;WeinigStedelijk_55;WeinigStedelijk;0;;;;;;;
56;NietStedelijk_56;NietStedelijk;0;;;;;;;
57;Bevolkingsdichtheid_57;Bevolkingsdichtheid;1;0;;;;;;
58;Geboorte_58;Geboorte;0;;;;;;;
59;GeboorteRelatief_59;GeboorteRelatief;1;0;;;;;;
60;Sterfte_60;Sterfte;0;;;;;;;
61;SterfteRelatief_61;SterfteRelatief;0;0;;;;;;
62;Geboorteoverschot_62;Geboorteoverschot;0;;;;;;;
63;GeboorteoverschotRelatief_63;GeboorteoverschotRelatief;0;0;;;;;;
64;Nieuwvormingen_64;Nieuwvormingen;0;;;;;;;
65;ZiektenVanHartEnVaatstelsel_65;ZiektenVanHartEnVaatstelsel;1;1;TotaleBevolking_1;;;;;
66;ZiektenVanAdemhalingsstelsel_66;ZiektenVanAdemhalingsstelsel;1;1;TotaleBevolking_1;;;;;
67;UitwendigeDoodsoorzaken_67;UitwendigeDoodsoorzaken;0;1;TotaleBevolking_1;;;;;
68;OverigeDoodsoorzaken_68;OverigeDoodsoorzaken;0;1;TotaleBevolking_1;;;;;
69;VestigingUitAndereGemeente_69;VestigingUitAndereGemeente;0;;;;;;;
70;VertrekNaarAndereGemeente_70;VertrekNaarAndereGemeente;0;;;;;;;
71;BinnenlandsMigratiesaldo_71;BinnenlandsMigratiesaldo;0;;;;;;;
72;BinnenlandsMigratiesaldoRelatief_72;BinnenlandsMigratiesaldoRelatief;0;;;;;;;
73;VerhuismobiliteitRelatief_73;VerhuismobiliteitRelatief;0;;;;;;;
74;Immigratie_74;Immigratie;0;;;;;;;
75;Emigratie_75;Emigratie;0;;;;;;;
76;Migratiesaldo_76;Migratiesaldo;0;;;;;;;
77;MigratiesaldoRelatief_77;MigratiesaldoRelatief;0;;;;;;;
78;InwonersOp31December_78;InwonersOp31December;0;;;;;;;
79;Bevolkingsgroei_79;Bevolkingsgroei;0;;;;;;;
80;BevolkingsgroeiRelatief_80;BevolkingsgroeiRelatief;0;0;;;;;;
81;GemiddeldAantalInwoners_81;GemiddeldAantalInwoners;0;;;;;;;
82;TotaalAantalParticuliereHuishoudens_82;TotaalAantalParticuliereHuishoudens;0;;;;;;;
83;Eenpersoonshuishoudens_83;Eenpersoonshuishoudens;0;;;;;;;
84;HuishoudensZonderKinderen_84;HuishoudensZonderKinderen;1;;;;;;;
85;HuishoudensMetKinderen_85;HuishoudensMetKinderen;0;;;;;;;
86;Eenpersoonshuishoudens_86;Eenpersoonshuishoudens;0;;;;;;;
87;HuishoudensZonderKinderen_87;HuishoudensZonderKinderen;0;;;;;;;
88;HuishoudensMetKinderen_88;HuishoudensMetKinderen;0;;;;;;;
89;GemiddeldeHuishoudensgrootte_89;GemiddeldeHuishoudensgrootte;1;;;;;;;
90;VoorraadOp1Januari_90;VoorraadOp1Januari;0;;;;;;;
91;Nieuwbouwwoningen_91;Nieuwbouwwoningen;0;;;;;;;
92;SaldoVermeerderingWoningenRelatief_92;SaldoVermeerderingWoningenRelatief;0;;;;;;;
93;Woningdichtheid_93;Woningdichtheid;0;;;;;;;
94;Koopwoningen_94;Koopwoningen;0;;;;;;;
95;Huurwoningen_95;Huurwoningen;0;;;;;;;
96;EigendomOnbekend_96;EigendomOnbekend;0;;;;;;;
97;Woningen_97;Woningen;0;;;;;;;
98;NietWoningen_98;NietWoningen;0;;;;;;;
99;GemiddeldeWoningwaarde_99;GemiddeldeWoningwaarde;0;;;;;;;
100;Basisonderwijs_100;Basisonderwijs;0;;;;;;;
101;SpeciaalBasisonderwijs_101;SpeciaalBasisonderwijs;0;;;;;;;
102;SpecialeScholen_102;SpecialeScholen;0;;;;;;;
103;VoortgezetOnderwijs_103;VoortgezetOnderwijs;0;;;;;;;
104;BeroepsopleidendeLeerweg_104;BeroepsopleidendeLeerweg;0;;;;;;;
105;BeroepsbegeleidendeLeerweg_105;BeroepsbegeleidendeLeerweg;0;;;;;;;
106;HogerBeroepsonderwijs_106;HogerBeroepsonderwijs;0;;;;;;;
107;WetenschappelijkOnderwijs_107;WetenschappelijkOnderwijs;0;;;;;;;
108;VoortgezetOnderwijs_108;VoortgezetOnderwijs;0;;;;;;;
109;MiddelbaarBeroepsonderwijs_109;MiddelbaarBeroepsonderwijs;0;;;;;;;
110;HogerBeroepsonderwijsBachelor_110;HogerBeroepsonderwijsBachelor;0;;;;;;;
111;WoMasterDoctoraal_111;WoMasterDoctoraal;0;;;;;;;
112;TotaalAantalBanen_112;TotaalAantalBanen;0;;;;;;;
113;ALandbouwBosbouwEnVisserij_113;ALandbouwBosbouwEnVisserij;0;;;;;;;
114;BFNijverheidEnEnergie_114;BFNijverheidEnEnergie;0;;;;;;;
115;GNCommercieleDienstverlening_115;GNCommercieleDienstverlening;0;;;;;;;
116;OUNietCommercieleDienstverlening_116;OUNietCommercieleDienstverlening;0;;;;;;;
