GM_CODE;LowEducation;MiddleEducation;HighEducation
GM0003;3120;4450;1400
GM0005;2090;3850;2020
GM0007;2450;3130;1260
GM0009;1470;2540;1400
GM0010;6730;9580;3010
GM0014;30820;70730;61640
GM0015;3170;4310;1450
GM0017;2670;4360;6140
GM0018;10300;11240;4190
GM0022;4610;6480;3430
GM0024;2100;3770;1840
GM0025;2840;3660;1350
GM0034;47540;66290;35560
GM0037;9710;11150;3470
GM0040;3930;5340;2520
GM0047;7340;9700;3790
GM0048;4400;5690;1830
GM0050;4320;7150;4390
GM0051;6260;9800;4240
GM0053;2580;4740;2950
GM0055;3910;6590;3950
GM0056;3530;6150;4060
GM0058;6740;7810;3070
GM0059;8440;9280;3020
GM0060;790;1430;480
GM0063;3050;3460;1400
GM0070;5870;6740;2700
GM0072;4490;5240;2120
GM0074;10640;13560;7810
GM0079;3430;4600;1610
GM0080;21090;32680;20730
GM0081;2570;3720;1550
GM0082;3390;4580;2090
GM0085;6650;9100;3440
GM0086;7300;9610;5110
GM0088;340;290;
GM0090;12850;18730;9560
GM0093;1350;1640;800
GM0096;;550;180
GM0098;6180;8940;3760
GM0106;14090;22720;13010
GM0109;9260;12130;5040
GM0114;31680;36960;12750
GM0118;15770;18000;6400
GM0119;8080;10500;5800
GM0140;2040;3930;2140
GM0141;20980;22650;10520
GM0147;4610;6690;4840
GM0148;6260;9580;4460
GM0150;21810;30490;21340
GM0153;40580;52400;29300
GM0158;5440;8270;4280
GM0160;16440;20550;6890
GM0163;8440;12730;5300
GM0164;16710;26750;16730
GM0166;13240;16160;7610
GM0168;5650;7960;3270
GM0171;11040;16010;6930
GM0173;7390;10050;6290
GM0175;4130;5980;2770
GM0177;8480;13040;5690
GM0180;4580;5400;1490
GM0183;4860;7660;3000
GM0184;5910;5910;1230
GM0189;5320;8380;3960
GM0193;23850;37480;30790
GM0196;3630;3540;1200
GM0197;7230;9250;3540
GM0200;36970;50240;30940
GM0202;36650;43430;36430
GM0203;14370;16680;7460
GM0209;6040;8540;4880
GM0213;5440;6950;3520
GM0214;7250;8230;4320
GM0216;7070;7660;5990
GM0221;3150;3780;1830
GM0222;13880;18580;9900
GM0225;4880;5930;2950
GM0226;5870;8930;4560
GM0228;26090;34980;20390
