ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
0;0;;GeoDimension;RegioS;Regio's;;;;;;
1;1;;TimeDimension;Perioden;Perioden;;false;;;;
2;;;TopicGroup;;Bevolking;De geregistreerde bevolking van Nederland.;;;;;
3;;2;TopicGroup;;Bevolkingssamenstelling op 1 januari;"Bevolking:
De inwoners van een bepaald gebied.

In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage. In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.";;;;;
4;2;3;Topic;TotaleBevolking_1;Totale bevolking;"Bevolking op 1 januari.

Bevolking:
De inwoners van een bepaald gebied.

In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage. In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.";;Double;aantal;0;Impossible
5;;3;TopicGroup;;Geslacht;;;;;;
6;3;5;Topic;Mannen_2;Mannen;;;Double;aantal;0;Impossible
7;4;5;Topic;Vrouwen_3;Vrouwen;;;Double;aantal;0;Impossible
8;;3;TopicGroup;;Leeftijd;Leeftijd per 1 januari.;;;;;
9;;8;TopicGroup;;Leeftijdsgroepen;;;;;;
10;5;9;Topic;JongerDan5Jaar_4;Jonger dan 5 jaar;;;Double;aantal;0;Impossible
11;6;9;Topic;k_5Tot10Jaar_5;5 tot 10 jaar;;;Double;aantal;0;Impossible
12;7;9;Topic;k_10Tot15Jaar_6;10 tot 15 jaar;;;Double;aantal;0;Impossible
13;8;9;Topic;k_15Tot20Jaar_7;15 tot 20 jaar;;;Double;aantal;0;Impossible
14;9;9;Topic;k_20Tot25Jaar_8;20 tot 25 jaar;;;Double;aantal;0;Impossible
15;10;9;Topic;k_25Tot45Jaar_9;25 tot 45 jaar;;;Double;aantal;0;Impossible
16;11;9;Topic;k_45Tot65Jaar_10;45 tot 65 jaar;;;Double;aantal;0;Impossible
17;12;9;Topic;k_65Tot80Jaar_11;65 tot 80 jaar;;;Double;aantal;0;Impossible
18;13;9;Topic;k_80JaarOfOuder_12;80 jaar of ouder;;;Double;aantal;0;Impossible
19;;8;TopicGroup;;Leeftijdsgroepen, relatief;;;;;;
20;14;19;Topic;JongerDan5Jaar_13;Jonger dan 5 jaar;;;Double;%;1;Impossible
21;15;19;Topic;k_5Tot10Jaar_14;5 tot 10 jaar;;;Double;%;1;Impossible
22;16;19;Topic;k_10Tot15Jaar_15;10 tot 15 jaar;;;Double;%;1;Impossible
23;17;19;Topic;k_15Tot20Jaar_16;15 tot 20 jaar;;;Double;%;1;Impossible
24;18;19;Topic;k_20Tot25Jaar_17;20 tot 25 jaar;;;Double;%;1;Impossible
25;19;19;Topic;k_25Tot45Jaar_18;25 tot 45 jaar;;;Double;%;1;Impossible
26;20;19;Topic;k_45Tot65Jaar_19;45 tot 65 jaar;;;Double;%;1;Impossible
27;21;19;Topic;k_65Tot80Jaar_20;65 tot 80 jaar;;;Double;%;1;Impossible
28;22;19;Topic;k_80JaarOfOuder_21;80 jaar of ouder;;;Double;%;1;Impossible
29;;8;TopicGroup;;Demografische druk;;;;;;
30;23;29;Topic;TotaleDruk_22;Totale druk;De verhouding tussen het aantal personen van 0 tot 20 jaar en van 65 jaar of ouder ten opzichte van de personen in de zogenaamde 'productieve' leeftijdsgroep van 20 tot 65 jaar.;;Double;%;1;Impossible
31;24;29;Topic;GroeneDruk_23;Groene druk;De verhouding tussen het aantal personen van 0 tot 20 jaar ten opzichte van de personen in de zogenaamde 'productieve' leeftijdsgroep van 20 tot 65 jaar.;;Double;%;1;Impossible
32;25;29;Topic;GrijzeDruk_24;Grijze druk;De verhouding tussen het aantal personen van 65 jaar of ouder ten opzichte van de personen in de zogenaamde 'productieve' leeftijdsgroep van 20 tot 65 jaar.;;Double;%;1;Impossible
